"基本数量ＩＤ","数量タイプ","単位","総数量","１Ｆ","２Ｆ","３Ｆ","Ｂ１Ｆ","Ｂ２Ｆ"
"１１２５ｍｍ袖壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"１２００ｍｍ袖壁上制震耐力壁箇所数","実数","ケ所","0","","","","",""
"タイル５０二丁埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬサイモン埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬパストラーノ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬルミノス埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬ寂雅楽Ⅱ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルキラテック５０二丁埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＥＸ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＨＧＴ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＨＧ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＢＴ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＢ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＳＳ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＳ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＢＮＳ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＢＮ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＮＳ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＮ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＷＮ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルキラテックスタイリッシュ埋込窓建具高さ","実数","ｍ","20.808","1.824","18.984","0","",""
"タイルテスタＣＭボーダー埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルテスタＣＷボーダー埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルテスタカサータ埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルテスタフェルクレイド埋込窓建具高さ","実数","Ｍ","0","","","","",""
"タイルテスタラトリック埋込窓建具高さ","実数","Ｍ","0","","","","",""
"細割ボーダー埋込窓建具高さ","実数","Ｍ","0","","","","",""
"ＰＳ部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"インナーテラス部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"エレベーター部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"キッチン部屋外壁接触長さ","実数","ｍ","2.687","2.687","0","0","",""
"サンクンフロアー部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"タタミコーナー（段差有）外壁接触長さ","実数","ｍ","2.928","2.928","0","0","",""
"式台部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"デッドスペース部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"トイレ部屋外壁接触長さ","実数","ｍ","1.748","0.873","0.875","0","",""
"パントリー（納戸）部屋外壁接触長さ","実数","ｍ","0.93","0.93","0","0","",""
"パントリー（洋収納）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"プラスアップ収納部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"ホール部屋外壁接触長さ","実数","ｍ","5.138","1.78","3.358","0","",""
"ロフト部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"押入天付部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"押入部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"屋内車庫（床有）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"屋内土足ホール部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"屋内土足階段部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"屋内土足廊下部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"階段上収納部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"階段下スペース部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"階段部屋外壁接触長さ","実数","ｍ","3.816","0","3.816","0","",""
"外部階段部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"居間部屋外壁接触長さ","実数","ｍ","11.102","11.102","0","0","",""
"玄関（段差有）部屋外壁接触長さ","実数","ｍ","1.447","1.447","0","0","",""
"玄関（下がり）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"玄関（段差無）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"玄関収納部屋外壁接触長さ","実数","ｍ","3.073","3.073","0","0","",""
"広縁部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"書斎部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"勝手口部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"小屋裏収納部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"床の間部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"吹抜部屋外壁接触長さ","実数","ｍ","0.75","0","0.75","0","",""
"洗面室部屋外壁接触長さ","実数","ｍ","1.773","1.773","0","0","",""
"賃貸キッチン部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸トイレ部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸ホール部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸ロフト部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸押入部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸階段下スペース部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸階段部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸居間部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸玄関（段差無）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸玄関（段差有）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸玄関収納部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸玄関部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸書斎部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸小屋裏収納部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸吹抜部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸洗面室部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸納戸部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸洋室部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸洋収納部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸浴室（段差有）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸浴室（段差無）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸廊下部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸和室（段差無）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸和室（段差有）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"店舗・事務所部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"踏込部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"納戸部屋外壁接触長さ","実数","ｍ","2.547","0","2.547","0","",""
"板の間部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"仏間部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"洋室部屋外壁接触長さ","実数","ｍ","17.704","0","17.704","0","",""
"洋収納部屋外壁接触長さ","実数","ｍ","1.55","0","1.55","0","",""
"浴室（段差有）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"浴室（段差無）部屋外壁接触長さ","実数","ｍ","3.654","3.654","0","0","",""
"廊下部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"和室（段差有）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"和室（段差無）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"地袋押入部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"吊り押入部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"ガレージ上収納部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"スキップ収納部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"下り床ありユニット面積","実数","Ｍ２","0","","","","",""
"１－２階通し柱箇所数","実数","箇所","7","7","0","0","",""
"１－３階通し柱箇所数","実数","ケ所","0","","","","",""
"１－４階通し柱箇所数","実数","ケ所","0","","","","",""
"１－５階通し柱箇所数","実数","ケ所","0","","","","",""
"１－６階通し柱箇所数","実数","ケ所","0","","","","",""
"１－７階通し柱箇所数","実数","ケ所","0","","","","",""
"１－８階通し柱箇所数","実数","ケ所","0","","","","",""
"ユニット外界壁長さ","実数","Ｍ","0","","","","",""
"ユニット外界壁ｔ154長さ","実数","Ｍ","0","","","","",""
"ユニット外共用廊下壁ｔ152長さ","実数","Ｍ","0","","","","",""
"ユニット外告示防火壁t132（エイジング用）長さ","実数","Ｍ","0","","","","",""
"ユニット外界壁（住戸間のみ）t135長さ","実数","Ｍ","0","","","","",""
"ユニット外共用廊下壁ｔ175（40ふかし壁含む）長さ","実数","Ｍ","0","","","","",""
"ユニット外防火上主要な間仕切t120（エイジング用）長さ","実数","Ｍ","0","","","","",""
"ユニット外防火上主要な間仕切t198（エイジング用）長さ","実数","Ｍ","0","","","","",""
"ユニット外共用廊下壁ｔ135長さ","実数","Ｍ","0","","","","",""
"ユニット外区画壁（竪穴区画等）t135長さ","実数","Ｍ","0","","","","",""
"ユニット外遮音間仕切（t75仕様）長さ","実数","Ｍ","0","","","","",""
"タイル５０二丁バルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬサイモンバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬパストラーノバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬルミノスバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬ寂雅楽Ⅱバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテック５０二丁バルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＥＸバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＨＧＴバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＨＧバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＢＴバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＢバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＳＳバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＳバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＢＮＳバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＢＮバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＮＳバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＮバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＷＮバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＨＳバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＢＳバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＳバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックスタイリッシュバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルテスタＣＭボーダーバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルテスタＣＷボーダーバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルテスタカサータバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルテスタフェルクレイドバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイルテスタラトリックバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"細割ボーダーバルコニー持ち出し部下端長さ","実数","Ｍ","0","","","","",""
"タイル５０二丁アルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬサイモンアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬパストラーノアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬルミノスアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬ寂雅楽Ⅱアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテック５０二丁アルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＥＸアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＨＧＴアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＨＧアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＢＴアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＢアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＳＳアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＳアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＢＮＳアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＢＮアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＮＳアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＮアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＷＮアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＨＳアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＢＳアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＳアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルキラテックスタイリッシュアルコーブ垂れ壁部下端長さ","実数","ｍ","0.6","0.6","0","0","",""
"タイルテスタＣＭボーダーアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
"タイルテスタＣＷボーダーアルコーブ垂れ壁部下端長さ","実数","Ｍ","0","","","","",""
